Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_30,BB_Middle,BB_Upper,BB_Lower,Volatility_30,Cumulative_Return,Daily_Return_Outlier
2025-05-13,158.24131128306263,160.0151746711756,155.62040930962155,158.978759765625,42382100,,158.978759765625,158.978759765625,158.978759765625,,,,0.0,False
2025-05-14,159.4072742222668,166.4229412214118,159.0584775444673,164.79856872558594,48755900,0.03660746233358969,161.88866424560547,161.88866424560547,161.88866424560547,170.11911700720268,153.65821148400826,,0.03660746233358969,False
2025-05-15,165.26694125278715,165.6356730691148,161.80893051621783,163.39344787597656,33146700,-0.008526292797779722,162.3902587890625,162.3902587890625,162.3902587890625,168.46391842413854,156.31659915398646,,0.02776904359337018,False
2025-05-16,167.15039440077075,168.76480673115492,165.04768502743337,165.61572265625,42846900,0.013600758225998488,163.19662475585938,163.19662475585938,163.19662475585938,169.11240969112933,157.28083982058942,,0.041747481867449254,False
2025-05-19,163.9415089419112,166.06415331734098,163.65251776508842,165.96449279785156,30426100,0.0021058999472258755,163.7501983642578,163.7501983642578,163.7501983642578,169.4402122788788,158.06018444963684,,0.0439412978345366,False
2025-05-20,165.8548915457752,167.91774593119885,162.337090725838,163.41336059570312,46607700,-0.015371554235132479,163.69405873616537,163.69405873616537,163.69405873616537,168.7907877329908,158.59732973933995,,0.02789429755657835,False
2025-05-21,163.12438701474937,172.54173038625467,162.99483135159699,167.97755432128906,73416000,0.027930358380414688,164.30598667689733,164.30598667689733,164.30598667689733,169.97449335144495,158.63748000234972,,0.05660375366451831,False
2025-05-22,171.25618084668935,176.15917803179707,170.12012070875053,170.27955627441406,74864400,0.013704223534068083,165.9203861781529,165.0526828765869,165.0526828765869,171.7894071292365,158.31595862393732,,0.07108368769167228,False
2025-05-23,168.47582079984258,169.37272002705043,167.30986548992928,167.8878631591797,35211400,-0.01404568562170816,166.36171395438058,165.36770290798611,165.36770290798611,171.94669038903416,158.78871542693807,,0.05603958293981526,False
2025-05-27,169.5720138436325,172.5716072803838,169.41256307598843,172.3025360107422,37995700,0.0262953662551344,167.63444083077567,166.06118621826172,166.06118621826172,173.65793615778912,158.46443627873433,,0.08380853055313708,False
2025-05-28,172.56165823831284,174.66436785084326,171.31597754856884,171.76441955566406,34784000,-0.0031230907422312715,168.51282610212053,166.57966197620738,166.57966197620738,174.56511760433162,158.59420634808313,0.2935706021663121,0.08042369816501527,False
2025-05-29,173.3987639368741,173.81731085268368,170.0404134323131,171.2661590576172,29317300,-0.002900836502319981,169.27020699637276,166.9702033996582,166.9702033996582,175.0505215217653,158.88988527755112,0.2832783921396489,0.07728956566340672,False
2025-05-30,170.75790891590938,171.61493780799663,166.86141620850907,171.1465606689453,52639900,-0.0006983188583778999,170.3749498639788,167.29146165114182,167.29146165114182,175.3671867668114,159.21573653547225,0.2723506413139134,0.0765372740437702,False
2025-06-02,167.26003241267054,169.28301661805224,166.81159040962694,168.4459228515625,38612300,-0.015779679164028004,170.44185965401786,167.3739231654576,167.3739231654576,175.15732938986642,159.59051694104878,0.278284604329348,0.059549861251242175,False
2025-06-03,166.91124474262,167.89781407143477,164.70887469424017,165.6057586669922,45084900,-0.016860985035969778,169.774174281529,167.25604553222655,167.25604553222655,174.8116975155043,159.7003935489488,0.2824455109299413,0.0416848068958211,False
2025-06-04,166.1638436483944,167.63872532387313,165.78515185366567,167.4693145751953,26900800,0.011252965616675548,169.7143816266741,167.2693748474121,167.2693748474121,174.56960699126117,159.96914270356305,0.27423164466554717,0.05340685021123304,False
2025-06-05,169.75139851627495,170.33935616350743,167.01090094696792,167.62876892089844,36379100,0.0009521406719050773,169.04670061383928,167.29051567526426,167.29051567526426,174.3610845401019,160.21994681042662,0.2651432632023229,0.05440984171738261,False
2025-06-06,170.23972142250292,173.89703839964744,170.23972142250292,173.07986450195312,35731800,0.03251885470582305,169.23462132045202,167.61214616563586,167.61214616563586,174.9945784927641,160.22971383850762,0.28006442618284966,0.08869804216058008,False
2025-06-09,174.14743750903665,176.07310468622353,173.97782168090652,175.69395446777344,28935900,0.015103374233291111,169.8671635219029,168.0375044973273,168.0375044973273,176.11359081518532,159.96141817946926,0.27423957060086496,0.10514105611838276,False
2025-06-10,175.80372221831115,180.70268325607967,174.5166301339373,178.19833374023438,61766100,0.014254214267345855,170.8745596749442,168.54554595947266,168.54554595947266,177.62513085978102,159.4659610591643,0.26832369262696054,0.12089397352793507,False
