Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_30,BB_Middle,BB_Upper,BB_Lower,Volatility_30,Cumulative_Return,Daily_Return_Outlier
2025-05-13,124.95056035306071,131.18908818741485,124.44067836400953,129.89938354492188,330430100,,129.89938354492188,129.89938354492188,129.89938354492188,,,,0.0,False
2025-05-14,133.16861033831793,135.40808800730593,131.6489642323906,135.30810546875,281180800,0.0416377797663503,132.60374450683594,132.60374450683594,132.60374450683594,140.25283240661838,124.95465660705351,,0.0416377797663503,False
2025-05-15,134.258351724734,136.2678878895653,132.6287461607251,134.79823303222656,226632600,-0.003768232765931301,133.33524068196616,133.33524068196616,133.33524068196616,139.30812212228125,127.36235924165106,,0.03771264615440284,False
2025-05-16,136.18791721457987,136.31789147723805,133.42857277146337,135.36810302734375,226542500,0.004227577634351887,133.84345626831055,133.84345626831055,133.84345626831055,139.1270224044817,128.5598901321394,,0.042099656928169304,False
2025-05-19,132.35879696756518,135.83797251007488,132.35879696756518,135.53805541992188,193154600,0.0012554832990736564,134.1823760986328,134.1823760986328,134.1823760986328,139.00258214860455,129.36217004866106,,0.04340799564341302,False
2025-05-20,134.2583525069389,134.54829272140586,132.58874781513978,134.3483428955078,161514200,-0.00877770099864661,134.2100372314453,134.2100372314453,134.2100372314453,138.5234897244943,129.8965847383963,,0.03424927223805807,False
2025-05-21,133.02864907239967,137.36762292180558,130.55922977564506,131.76895141601562,270608700,-0.019199280198776703,133.86131068638392,133.86131068638392,133.86131068638392,138.20987129482415,129.51275007794368,,0.01439243066497875,False
2025-05-22,132.19884131725317,134.21836966107523,131.51900885300861,132.7987060546875,187344000,0.0078148503695743,134.27549961635046,133.72848510742188,133.72848510742188,137.82398483801867,129.63298537682508,,0.022319755726654344,False
2025-05-23,129.96937433382988,132.64873565144939,129.12957588399638,131.25906372070312,198821300,-0.01159380523896325,133.69706508091517,133.454104953342,133.454104953342,137.62384345476,129.28436645192403,,0.010467179586814979,False
2025-05-27,134.1183754403962,135.6280293045703,133.27857708527512,135.4680633544922,192953600,0.03206635423474524,133.79275512695312,133.65550079345704,133.65550079345704,137.78796650550527,129.5230350814088,,0.04286917811002966,False
2025-05-28,135.9979578766118,137.2176717346689,134.75824445795843,134.7782440185547,304021100,-0.005092117794083917,133.70848955426897,133.757568359375,133.757568359375,137.73600124779668,129.77913547095332,0.30461369256711596,0.0375587654112739,False
2025-05-29,142.21648797143945,143.45620133736625,137.87751407348716,139.15721130371094,369241900,0.03249016424752793,134.2255118233817,134.20753860473633,134.20753860473633,139.11750197749282,129.29757523197983,0.319832199745251,0.07126922011594838,False
2025-05-30,138.6873257641086,139.58710766728817,132.88868890141003,135.09817504882812,333170900,-0.029168709381678815,134.33263070242745,134.2760491004357,134.2760491004357,139.00286978021086,129.54922842066054,0.34590599146668566,0.04002167956484848,False
