Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_30,BB_Middle,BB_Upper,BB_Lower,Volatility_30,Cumulative_Return,Daily_Return_Outlier
2025-05-06,161.60963501178307,164.23055216038995,160.63302556719455,162.6659698486328,21277200,,162.6659698486328,162.6659698486328,162.6659698486328,,,,0.0,False
2025-05-07,163.5130310359637,164.42985019413678,147.32914212449143,150.85691833496094,127490100,-0.0725969391425918,156.76144409179688,156.76144409179688,156.76144409179688,173.46196490119416,140.06092328239959,,-0.0725969391425918,True
2025-05-08,154.464385147347,155.39116415932176,152.3716357822811,153.7468719482422,57498700,0.019156917993409017,155.75658671061197,155.75658671061197,155.75658671061197,168.06798622207359,143.44518719915035,,-0.05483075475890997,False
2025-05-09,153.63729009433737,154.51425427070677,151.67409587609725,152.22219848632812,32435300,-0.009916777119389653,154.87298965454102,154.87298965454102,154.87298965454102,165.52845485980077,144.21752444928126,,-0.06420378750406763,False
2025-05-12,156.94581087118723,158.5502482480448,155.7100901217978,157.91246032714844,44138800,0.03738128799480833,155.4808837890625,155.4808837890625,155.4808837890625,165.10091027712832,145.86085730099666,,-0.029222519780306322,False
2025-05-13,158.24131128306263,160.0151746711756,155.62040930962155,158.978759765625,42382100,0.006752471820573813,156.0638631184896,156.0638631184896,156.0638631184896,165.1298812780684,146.99784495891078,,-0.022667372201075175,False
2025-05-14,159.40725946266062,166.4229258122212,159.0584628171564,164.79855346679688,48755900,0.03660736635354134,157.31167602539062,157.31167602539062,157.31167602539062,167.89897699443455,146.7243750563467,,0.013110201354029405,False
2025-05-15,165.26694125278715,165.6356730691148,161.80893051621783,163.39344787597656,33146700,-0.008526200996681776,157.4156014578683,158.07189750671387,158.07189750671387,168.7757250718137,147.36806994161404,,0.004472220145496308,False
2025-05-16,167.15039440077075,168.76480673115492,165.04768502743337,165.61572265625,42846900,0.013600758225998488,159.5240020751953,158.91010030110678,158.91010030110678,170.11471788755202,147.70548271466154,,0.018133803956427164,False
2025-05-19,163.94152401470697,166.06416858529283,163.65253281131433,165.96450805664062,30426100,0.0021059920809243238,161.26937866210938,159.61554107666015,159.61554107666015,171.08288819639603,148.14819395692427,,0.020277985684880706,False
2025-05-20,165.8548915457752,167.91774593119885,162.337090725838,163.41336059570312,46607700,-0.015371644761944192,162.8681161063058,159.96079739657316,159.96079739657316,171.07812305211718,148.84347174102913,0.5022371734473826,0.004594634930500829,False
2025-05-21,163.1243721968136,172.54171471286378,162.9948165454298,167.9775390625,73416000,0.027930265005007726,164.3059844970703,160.62885920206705,160.62885920206705,172.19526498237022,149.06245342176388,0.49369244122290246,0.03265322930671877,False
2025-05-22,171.25616550038472,176.15916224613377,170.12010546424852,170.279541015625,74864400,0.01370422477893607,165.9203818184989,161.3712193415715,161.3712193415715,173.67123519961476,149.07120348352825,0.4730912821186876,0.046804941279832146,False
2025-05-23,168.47582079984258,169.37272002705043,167.30986548992928,167.8878631591797,35211400,-0.014045597270113896,166.36171177455358,161.8366938999721,161.8366938999721,174.15683981652384,149.51654798342034,0.46004618524243734,0.03210194065425043,False
2025-05-27,169.57202886061165,172.5716225630013,169.4125780788469,172.30255126953125,37995700,0.02629545714192494,167.63444083077567,162.53441772460937,162.53441772460937,175.57869810792155,149.49013734129719,0.4530718605004916,0.0592415330008218,False
2025-05-28,172.56165823831284,174.66436785084326,171.31597754856884,171.76441955566406,34784000,-0.0031231790237707946,168.51282610212053,163.1112928390503,163.1112928390503,176.53172256841754,149.69086310968305,0.43770925309415115,0.055933332063846875,False
2025-05-29,173.39874848808273,173.81729536660228,170.04039828273065,171.26614379882812,29317300,-0.002900925337883886,169.27020263671875,163.59098995433135,163.59098995433135,177.1740169425302,150.0079629661325,0.42375247753989775,0.05287014830574677,False
2025-05-30,170.75789369177105,171.6149225074488,166.86140133176752,171.14654541015625,52639900,-0.00069831892059391,170.37494332449776,164.0107430352105,164.0107430352105,177.66107756430893,150.3604085061121,0.41062490715534206,0.052134909160256315,False
